"date","close","volume","open","high","low"
"2015/09/10","146.2000","3458854.0000","145.8500","147.1600","144.5100"
"2015/09/09","145.0500","3399297.0000","148.7400","149.0400","144.8500"
"2015/09/08","147.2300","3919644.0000","145.8600","147.3400","145.6600"
"2015/09/04","143.7000","4192876.0000","144.5700","145.4000","143.3200"
"2015/09/03","146.7800","3595764.0000","146.0500","148.0300","145.7700"
"2015/09/02","145.0500","4250688.0000","144.7400","145.0800","143.1800"
"2015/09/01","142.6800","5267687.0000","144.9100","144.9800","141.8500"
"2015/08/31","147.8900","4083861.0000","147.3800","148.4000","146.2600"
"2015/08/28","147.9800","4061510.0000","147.7500","148.2000","147.1800"
"2015/08/27","148.5400","4792185.0000","148.5000","148.9700","145.6600"
"2015/08/26","146.7000","6197128.0000","144.0900","146.9800","142.1400"
"2015/08/25","140.9600","6898457.0000","146.9400","147.1100","140.6200"
"2015/08/24","143.4700","10186520.0000","143.4700","147.7600","142.3200"
"2015/08/21","148.8500","7344606.0000","151.5000","153.1900","148.7000"
"2015/08/20","152.6600","3981843.0000","152.7400","153.9100","152.5000"
"2015/08/19","153.9400","4203777.0000","155.1500","155.6700","153.4100"
"2015/08/18","156.0100","2018032.0000","155.5100","156.5200","155.2500"
"2015/08/17","156.3100","2243551.0000","155.2000","156.6900","154.7000"
"2015/08/14","155.7500","3222424.0000","155.0000","156.2100","154.5800"
"2015/08/13","155.0700","2533318.0000","156.0600","156.0900","154.3171"
"2015/08/12","156.1600","3621923.0000","154.2600","156.5200","153.9500"
"2015/08/11","155.5100","3158019.0000","155.9600","155.9900","154.8600"
"2015/08/10","156.7500","4610586.0000","156.7700","157.4652","156.1200"
"2015/08/07","155.1200","3794472.0000","155.8900","156.2500","154.3350"
"2015/08/06","156.3200","3004487.0000","157.1300","157.5400","156.1800"
"2015/08/05","157.9000","3469300.0000","159.1000","159.5400","157.4800"
"2015/08/04","157.6000","5253212.0000","158.4000","158.8200","156.8700"
"2015/08/03","158.7100","4611807.0000","161.7000","161.8500","157.9000"
"2015/07/31","161.9900","3580225.0000","161.4000","162.0600","160.6300"
"2015/07/30","160.9600","1994600.0000","160.5000","161.4000","159.7500"
"2015/07/29","161.0900","3376951.0000","160.0000","161.5000","159.3900"
"2015/07/28","160.0500","2720720.0000","159.9100","160.1900","158.5000"
"2015/07/27","159.0700","3705475.0000","159.0000","160.1800","158.6000"
"2015/07/24","159.7500","3770407.0000","161.2900","161.9300","159.4100"
"2015/07/23","161.7300","5028356.0000","160.2700","162.7500","159.8300"
"2015/07/22","160.3500","7173079.0000","162.7300","163.0695","159.7000"
"2015/07/21","163.0700","13727110.0000","164.3400","166.3500","162.0200"
"2015/07/20","173.2200","7251305.0000","172.7900","173.7800","172.1400"
"2015/07/17","172.5100","4346777.0000","170.3300","172.5200","170.1000"
"2015/07/16","171.0000","3529424.0000","169.4700","171.0900","169.1600"
"2015/07/15","168.5300","1997729.0000","168.4800","169.2700","168.0000"
"2015/07/14","168.6100","3021166.0000","169.4300","169.5400","168.2400"
"2015/07/13","169.3800","4225488.0000","167.9300","169.8900","167.5200"
"2015/07/10","166.9500","4538349.0000","165.6600","167.4000","165.5150"
"2015/07/09","163.8500","4199088.0000","165.3400","165.5100","163.7000"
"2015/07/08","163.1600","2776271.0000","164.0000","164.9400","162.6800"
"2015/07/07","165.0000","3549861.0000","164.9400","165.3500","162.2317"
"2015/07/06","164.7300","3077410.0000","163.8300","165.2300","163.5200"
"2015/07/02","165.0900","2851396.0000","165.0500","165.3200","164.4200"
"2015/07/01","164.4900","3214437.0000","163.9700","165.6100","163.6000"
"2015/06/30","162.6600","3597257.0000","163.9900","164.0000","162.1200"
"2015/06/29","162.9700","3313914.0000","163.9200","165.3500","162.8900"
"2015/06/26","165.4600","8925498.0000","166.2300","166.8116","165.2300"
"2015/06/25","166.0800","2408705.0000","167.8000","168.1300","166.0800"
"2015/06/24","166.9700","3548079.0000","168.7100","168.8400","166.8301"
"2015/06/23","168.6200","3700989.0000","168.3800","169.9700","167.5730"
"2015/06/22","167.7300","2335796.0000","167.6500","168.3400","167.2000"
"2015/06/19","166.9900","7015534.0000","167.6200","168.4200","166.7700"
"2015/06/18","168.2500","3330764.0000","167.0500","168.7200","167.0500"
"2015/06/17","167.1700","2862993.0000","167.0000","167.8476","166.1000"
"2015/06/16","166.8400","3249752.0000","166.3300","167.4000","165.9100"
"2015/06/15","166.2600","4242795.0000","165.3300","166.4400","164.2500"
"2015/06/12","166.9900","3062125.0000","168.2300","168.3000","166.6900"
"2015/06/11","168.7800","3463893.0000","169.2600","170.4400","168.5400"
"2015/06/10","168.9200","4680002.0000","166.4900","169.3900","166.0600"
"2015/06/09","165.6800","3394390.0000","165.3400","166.0200","163.3700"
"2015/06/08","165.3400","3758676.0000","167.1700","167.2800","165.0200"
"2015/06/05","167.4000","3100401.0000","168.2500","168.9103","167.2000"
"2015/06/04","168.3800","3076991.0000","169.5300","170.6000","167.9300"
"2015/06/03","169.9200","2131031.0000","170.5000","171.5601","169.6300"
"2015/06/02","169.6500","2571662.0000","169.6600","170.4500","168.4300"
"2015/06/01","170.1800","2982367.0000","170.2100","171.0400","169.0300"
"2015/05/29","169.6500","4075576.0000","171.3500","171.3500","169.6500"
"2015/05/28","171.7100","1731347.0000","171.4500","171.8400","170.6600"
"2015/05/27","172.0000","2764328.0000","171.1600","172.4800","170.4900"
"2015/05/26","170.1300","3841937.0000","172.1100","172.1200","169.1300"
"2015/05/22","172.2200","2849142.0000","173.0400","173.3900","172.1900"
"2015/05/21","173.3400","2293645.0000","173.3200","174.1400","173.0350"
"2015/05/20","173.7600","2300693.0000","173.3300","174.4400","172.4600"
"2015/05/19","173.4800","2522984.0000","172.9700","173.7500","171.9300"
"2015/05/18","173.0600","1930206.0000","173.4400","173.4900","172.3000"
"2015/05/15","173.2600","2916087.0000","173.9100","174.4100","172.6000"
"2015/05/14","174.0500","2438669.0000","173.5000","174.4000","173.2200"
"2015/05/13","172.2800","2457170.0000","171.2400","172.7400","170.7500"
"2015/05/12","170.5500","2954387.0000","170.5500","171.4899","168.8400"
"2015/05/11","171.1200","2657123.0000","172.6500","172.9900","170.8600"
"2015/05/08","172.6800","3092479.0000","172.9400","173.3300","172.2400"
"2015/05/07","170.9900","2472627.0000","169.6300","171.9800","169.0400"
"2015/05/06","170.0500","3610295.0000","172.9000","174.0500","168.8600"
"2015/05/05","173.0800","3593415.0000","173.5100","174.2300","171.9600"
"2015/05/04","173.9700","4023794.0000","174.4700","176.3000","173.7000"
"2015/05/01","173.6700","3311743.0000","173.2000","174.0000","172.4200"
"2015/04/30","171.2900","5058348.0000","173.7700","174.2800","170.3000"
"2015/04/29","174.4000","4515143.0000","173.4000","175.1303","172.8000"
"2015/04/28","173.9200","5814978.0000","170.8300","174.6900","170.0200"
"2015/04/27","170.7300","3166588.0000","170.8900","171.4900","170.3000"
"2015/04/24","169.7800","3887859.0000","170.2300","170.8500","168.7400"
"2015/04/23","170.2400","8226707.0000","165.2300","171.9100","165.1400"
"2015/04/22","165.3600","4022236.0000","164.3900","166.0000","162.8900"
"2015/04/21","164.2600","9681557.0000","166.0700","167.3800","164.0500"
"2015/04/20","166.1600","9572126.0000","162.1000","166.6400","161.9000"
"2015/04/17","160.6700","4308880.0000","161.7500","161.8600","160.0300"
"2015/04/16","163.1300","3130813.0000","163.3100","163.9800","162.5400"
"2015/04/15","164.1300","3495848.0000","162.6300","164.9600","162.5000"
"2015/04/14","162.3000","2716418.0000","162.4200","162.7352","160.7900"
"2015/04/13","162.3800","3868071.0000","162.3700","164.0000","162.3600"
"2015/04/10","162.8600","2511035.0000","162.3400","163.3300","161.2500"
"2015/04/09","162.3400","2263480.0000","161.7000","162.4700","160.7200"
"2015/04/08","161.8500","2521583.0000","161.7200","163.5500","161.0100"
"2015/04/07","162.0700","3147566.0000","161.6700","163.8400","161.6200"
"2015/04/06","162.0400","3465581.0000","159.6900","162.8000","158.7020"
"2015/04/02","160.4500","4671478.0000","159.5200","162.5400","158.8900"
"2015/04/01","159.1800","3694519.0000","160.2300","160.6200","158.3900"
"2015/03/31","160.5000","4254808.0000","161.0800","162.3300","160.4000"
"2015/03/30","162.6700","4137986.0000","161.3100","163.6000","161.2500"
"2015/03/27","160.4000","3477801.0000","160.7900","160.9000","159.2300"
"2015/03/26","160.5900","4391017.0000","159.2700","161.2500","158.9100"
"2015/03/25","159.2000","5428222.0000","163.0800","163.0800","159.2000"
"2015/03/24","163.0000","4331090.0000","164.7900","164.8900","162.9000"
"2015/03/23","164.6300","5929727.0000","162.7700","165.3500","162.7300"
"2015/03/20","162.8800","9001842.0000","160.9500","163.0000","160.3500"
"2015/03/19","159.8100","3871119.0000","159.7000","160.9200","158.8100"
"2015/03/18","159.8100","5737794.0000","156.8500","160.7000","155.8000"
"2015/03/17","156.9600","3311792.0000","156.2000","157.2900","155.3700"
"2015/03/16","157.0800","3749638.0000","155.0500","157.0900","154.8000"
"2015/03/13","154.2800","6057170.0000","157.4600","157.5200","153.4000"
"2015/03/12","157.9800","4566291.0000","156.2700","158.7200","156.2700"
"2015/03/11","156.8000","5709280.0000","158.5700","159.1400","155.9350"
"2015/03/10","157.8100","4600260.0000","159.6000","160.2300","157.8100"
"2015/03/09","160.7700","5193874.0000","158.2000","161.1500","158.2000"
"2015/03/06","158.5000","4538724.0000","160.1900","161.4400","158.0600"
"2015/03/05","161.1800","3787426.0000","159.8600","161.5000","159.7030"
"2015/03/04","159.4200","3633335.0000","160.5400","160.5600","158.7200"
"2015/03/03","161.0300","3234006.0000","160.2700","161.7500","160.0000"
"2015/03/02","160.4800","5910972.0000","161.6800","161.8900","159.8101"
"2015/02/27","161.9400","4403866.0000","161.0500","162.2900","160.1600"
"2015/02/26","160.8700","7107766.0000","163.7400","164.1400","159.7700"
"2015/02/25","162.8100","4003088.0000","164.9400","164.9600","162.5800"
"2015/02/24","164.8300","4048109.0000","162.4900","164.9900","161.5100"
"2015/02/23","162.9100","2712218.0000","164.2300","164.4000","162.5000"
"2015/02/20","163.6500","3346955.0000","163.6400","164.3400","162.0900"
"2015/02/19","163.8900","3504269.0000","162.0500","164.4900","161.4400"
"2015/02/18","162.1900","4358252.0000","161.8600","162.4700","160.6400"
"2015/02/17","160.9600","2892929.0000","159.7500","161.4100","159.7300"
"2015/02/13","160.4000","3706909.0000","158.7800","160.8000","158.6400"
"2015/02/12","158.5200","3331904.0000","158.7200","159.5000","158.0900"
"2015/02/11","158.2000","3626629.0000","157.7600","159.0900","157.1700"
"2015/02/10","158.5600","4440579.0000","156.7400","158.5600","155.0800"
"2015/02/09","155.7500","2981444.0000","156.0000","157.5000","155.4000"
"2015/02/06","156.7200","3256440.0000","157.3400","158.0800","156.2300"
"2015/02/05","157.9100","5253628.0000","157.2900","158.5900","157.1501"
"2015/02/04","156.9600","3676106.0000","157.2100","158.7100","156.7000"
"2015/02/03","158.4700","5536804.0000","154.7500","158.6000","154.7500"
"2015/02/02","154.6600","4711986.0000","154.0000","154.6600","151.5100"
"2015/01/30","153.3100","6563442.0000","153.9100","155.2400","153.0400"
"2015/01/29","155.4800","8312100.0000","151.3800","155.5800","149.5200"
"2015/01/28","151.5500","4493190.0000","154.0000","154.5300","151.5500"
"2015/01/27","153.6700","5659328.0000","154.9400","155.0900","152.5900"
"2015/01/26","156.3600","7887907.0000","158.2600","159.4600","155.7700"
