"date","close","volume","open","high","low"
"16:00","34","16,423,297","34.10","34.20","33.73"
"2015/11/04","34.1500","20761920.0000","34.2700","34.2700","33.9000"
"2015/11/03","34.3100","18125930.0000","34.0000","34.4100","33.9800"
"2015/11/02","34.1100","21709550.0000","33.7300","34.2800","33.6400"
"2015/10/30","33.8600","24684270.0000","34.1000","34.2900","33.8600"
"2015/10/29","34.0300","21312690.0000","34.2000","34.2900","33.7700"
"2015/10/28","34.7100","21871220.0000","34.4700","34.7100","34.1200"
"2015/10/27","34.4700","22628650.0000","34.4100","34.5500","34.3100"
"2015/10/26","34.5900","22605040.0000","34.7700","34.9600","34.5500"
"2015/10/23","34.9000","42793420.0000","34.5400","35.0300","34.4000"
"2015/10/22","34.4000","39468820.0000","33.7000","34.5000","33.5900"
"2015/10/21","33.3700","31983440.0000","33.6700","34.0500","33.3200"
"2015/10/20","33.4400","24400760.0000","33.4000","33.6950","33.3100"
"2015/10/19","33.5900","37561160.0000","32.8800","33.6200","32.8700"
"2015/10/16","33.0400","28745790.0000","32.7500","33.2000","32.4800"
"2015/10/15","32.7500","37506410.0000","32.8400","33.0600","32.4600"
"2015/10/14","32.8000","75931040.0000","31.3900","32.9300","30.8500"
"2015/10/13","32.0400","35183170.0000","32.0250","32.4800","31.9800"
"2015/10/12","32.2100","18773610.0000","32.1600","32.3200","32.0000"
"2015/10/09","32.1400","24196880.0000","32.3700","32.5500","31.9400"
"2015/10/08","32.5200","27721680.0000","32.2300","32.6000","31.9800"
"2015/10/07","32.3150","36927050.0000","32.0000","32.4200","31.7200"
"2015/10/06","31.7400","35484310.0000","31.1600","31.8500","31.1100"
"2015/10/05","31.2100","34815670.0000","30.7300","31.3750","30.5600"
"2015/10/02","30.5100","27794970.0000","29.6700","30.5250","29.5300"
"2015/10/01","30.0000","29780020.0000","30.2100","30.2800","29.4600"
"2015/09/30","30.1400","41051110.0000","29.5600","30.3200","29.5400"
"2015/09/29","29.2400","34067010.0000","28.8300","29.3500","28.7600"
"2015/09/28","28.7600","42059270.0000","28.6800","29.3600","28.6400"
"2015/09/25","28.8100","29166220.0000","28.9400","29.1150","28.6300"
"2015/09/24","28.4800","32613360.0000","28.3800","28.6700","27.8700"
"2015/09/23","28.7400","25816710.0000","29.0200","29.0900","28.5900"
"2015/09/22","28.6700","28286250.0000","28.6700","28.9000","28.4800"
