"date","close","volume","open","high","low"
"16:00","36.15","904,675","34.75","37","34.25"
"2015/11/03","33.6900","504521.0000","33.5000","33.9000","32.0650"
"2015/11/02","33.2600","317600.0000","34.1400","34.5100","32.9800"
"2015/10/30","34.4900","224991.0000","34.1000","34.7200","33.2500"
"2015/10/29","34.0700","355859.0000","32.4500","34.1800","32.2400"
"2015/10/28","32.4800","295608.0000","33.0900","33.6800","32.2400"
"2015/10/27","32.7200","363298.0000","33.9900","33.9900","32.4535"
"2015/10/26","34.1600","183996.0000","35.2500","35.3200","34.0400"
"2015/10/23","35.4100","169999.0000","36.0000","36.0800","35.2900"
"2015/10/22","35.8700","161228.0000","36.9700","37.0700","35.7600"
"2015/10/21","36.7800","160855.0000","36.5500","37.2200","35.7900"
"2015/10/20","36.5200","90992.0000","36.2700","36.9200","35.7600"
"2015/10/19","36.2500","190299.0000","36.7900","37.2160","36.0400"
"2015/10/16","36.9000","213840.0000","36.5500","37.2899","36.2818"
"2015/10/15","36.5800","437528.0000","36.4000","38.4400","35.9200"
"2015/10/14","36.6200","123083.0000","35.6800","36.7500","35.4265"
"2015/10/13","35.7200","92726.0000","35.6700","36.3179","35.3800"
"2015/10/12","35.8800","129026.0000","36.2900","36.5699","35.1100"
"2015/10/09","36.2000","159434.0000","35.2400","36.3300","35.0200"
"2015/10/08","35.1500","105898.0000","34.4200","35.3500","34.2426"
"2015/10/07","34.6400","272788.0000","34.7700","35.4800","34.0500"
"2015/10/06","34.2800","383577.0000","34.0600","35.4300","33.8500"
"2015/10/05","34.0700","734939.0000","33.9400","35.3000","33.8300"
"2015/10/02","33.8200","307784.0000","33.5900","34.4500","33.2600"
"2015/10/01","34.1500","418525.0000","34.6100","35.0700","32.9346"
"2015/09/30","33.8500","347037.0000","31.2600","34.1500","31.1700"
"2015/09/29","30.8700","574582.0000","32.3900","33.0435","29.5000"
"2015/09/28","32.4000","404675.0000","33.6100","33.6200","31.4900"
"2015/09/25","33.8100","501380.0000","33.8900","34.4600","33.4700"
"2015/09/24","33.5000","429434.0000","34.2900","34.5160","32.8600"
"2015/09/23","34.5000","174707.0000","36.3200","36.7019","34.3300"
"2015/09/22","35.9500","288889.0000","34.3400","36.2000","34.2600"
"2015/09/21","34.9600","298875.0000","35.4200","35.9300","34.9050"
"2015/09/18","35.3700","348162.0000","34.6100","35.6500","34.2400"
"2015/09/17","34.7900","253690.0000","34.1500","35.5900","34.1000"
"2015/09/16","34.1500","459063.0000","34.5100","35.1100","33.6300"
"2015/09/15","34.4900","425109.0000","35.2500","36.1300","34.1200"
"2015/09/14","35.0500","309376.0000","35.5000","36.1000","35.0000"
"2015/09/11","35.5100","303671.0000","36.3700","36.5896","35.0000"
"2015/09/10","36.6800","277721.0000","36.3200","36.8000","35.4400"
"2015/09/09","36.1100","216018.0000","37.4000","37.8500","36.1000"
"2015/09/08","37.2700","252366.0000","37.6100","38.0900","36.8900"
"2015/09/04","37.3700","191335.0000","37.5000","39.4600","37.0500"
"2015/09/03","37.9100","209125.0000","38.8300","39.5000","37.6400"
"2015/09/02","38.4500","220455.0000","38.5200","39.0400","37.5000"
"2015/09/01","38.2800","176809.0000","38.9300","39.4200","38.0200"
"2015/08/31","39.3800","214030.0000","38.8400","39.7000","37.6000"
"2015/08/28","38.8400","147837.0000","38.3400","39.4700","38.2000"
"2015/08/27","38.2300","361766.0000","36.5500","38.8756","36.4400"
"2015/08/26","36.0100","374239.0000","37.0000","37.0000","35.1500"
"2015/08/25","36.1000","421997.0000","36.8100","37.5999","35.8300"
"2015/08/24","35.9700","644534.0000","36.7200","38.0200","34.2600"
"2015/08/21","36.6200","514372.0000","37.9800","38.2500","36.2000"
"2015/08/20","38.1900","260646.0000","38.4200","39.3800","37.8900"
"2015/08/19","38.9200","158685.0000","40.0000","40.3970","38.6700"
"2015/08/18","40.1100","250415.0000","40.0600","40.6800","39.5200"
"2015/08/17","40.1500","210531.0000","39.6000","41.0500","39.4752"
"2015/08/14","39.8600","228381.0000","39.2300","40.3700","39.2300"
"2015/08/13","40.4200","637914.0000","40.3500","40.7300","39.7200"
"2015/08/12","40.4200","650970.0000","38.2300","40.8100","38.1800"
"2015/08/11","38.3900","536569.0000","36.8600","38.4400","36.0000"
"2015/08/10","36.9400","399304.0000","35.8800","37.4200","35.8800"
"2015/08/07","35.8800","406241.0000","36.0200","36.6600","35.1000"
"2015/08/06","36.2500","1031349.0000","39.4600","39.4600","36.1600"
"2015/08/05","38.0700","605496.0000","39.0100","40.2700","38.0000"
"2015/08/04","39.1200","585288.0000","39.6400","39.8100","39.0000"
"2015/08/03","39.2900","278083.0000","39.7400","39.7400","38.7799"
"2015/07/31","39.7000","261521.0000","39.7200","39.9700","39.0300"
"2015/07/30","39.8900","451173.0000","40.2900","40.4900","39.6550"
"2015/07/29","40.4000","732144.0000","39.8300","40.5500","39.7000"
"2015/07/28","39.9700","666167.0000","38.7200","40.0900","38.4300"
"2015/07/27","38.4100","318054.0000","37.1500","38.8000","37.0700"
"2015/07/24","38.0100","344537.0000","37.8300","38.3500","37.5000"
"2015/07/23","37.6500","651106.0000","37.2400","38.1000","37.0100"
