"date","close","volume","open","high","low"
"2015/09/28","1.6600","5485651.0000","1.6900","1.7000","1.6600"
"2015/09/25","1.7100","5599242.0000","1.7500","1.7500","1.6800"
"2015/09/24","1.7200","11244590.0000","1.6800","1.7300","1.6600"
"2015/09/23","1.7000","9641689.0000","1.7600","1.7750","1.6900"
"2015/09/22","1.7300","9967075.0000","1.8000","1.8351","1.7150"
"2015/09/21","1.8100","5374258.0000","1.8700","1.8969","1.8100"
"2015/09/18","1.8700","11798440.0000","1.8700","1.9200","1.8500"
"2015/09/17","1.8900","5824857.0000","1.9000","1.9400","1.8700"
"2015/09/16","1.8900","4926411.0000","1.8700","1.9000","1.8500"
"2015/09/15","1.8600","6520445.0000","1.8400","1.8700","1.8100"
"2015/09/14","1.8200","16452210.0000","2.0000","2.0000","1.8100"
"2015/09/11","2.0100","30736690.0000","1.8800","2.1400","1.8100"
"2015/09/10","1.8400","4290325.0000","1.8400","1.8800","1.8300"
"2015/09/09","1.8500","12606140.0000","1.9000","1.9700","1.8300"
"2015/09/08","1.8800","6009499.0000","1.8500","1.8800","1.8300"
"2015/09/04","1.8200","6723794.0000","1.7600","1.8400","1.7600"
"2015/09/03","1.7900","7154181.0000","1.7600","1.8500","1.7600"
"2015/09/02","1.7700","6302617.0000","1.7500","1.7700","1.7200"
"2015/09/01","1.7100","8446010.0000","1.7700","1.8200","1.7100"
"2015/08/31","1.8100","6513566.0000","1.8200","1.8700","1.7900"
"2015/08/28","1.8500","10921540.0000","1.7500","1.8700","1.7500"
"2015/08/27","1.7800","11834720.0000","1.7400","1.8350","1.7400"
"2015/08/26","1.7200","10708420.0000","1.6900","1.7300","1.6600"
"2015/08/25","1.6600","12073250.0000","1.8200","1.8200","1.6600"
"2015/08/24","1.7500","17217370.0000","1.6900","1.8300","1.6500"
"2015/08/21","1.7800","12518960.0000","1.6800","1.8000","1.6800"
"2015/08/20","1.7000","13745160.0000","1.7900","1.8000","1.7000"
"2015/08/19","1.8000","7441178.0000","1.8000","1.8100","1.7600"
"2015/08/18","1.8000","9751510.0000","1.7900","1.8200","1.7500"
"2015/08/17","1.8000","9048949.0000","1.8200","1.8800","1.7950"
"2015/08/14","1.8400","6182510.0000","1.8000","1.8500","1.7900"
