"date","close","volume","open","high","low"
"16:00","71.45","4,083,313","71.93","72.18","70.69"
"2015/11/03","72.2400","2884126.0000","71.8500","72.3701","71.5000"
"2015/11/02","72.1800","3324379.0000","71.4000","72.2900","71.0900"
"2015/10/30","71.4700","2918894.0000","71.6300","71.8900","71.2700"
"2015/10/29","71.5700","3941398.0000","71.1900","71.6200","70.3000"
"2015/10/28","71.5500","2568454.0000","72.5000","72.8900","70.7300"
"2015/10/27","72.4100","3094790.0000","72.2500","72.8700","72.0200"
"2015/10/26","72.2500","5127222.0000","73.9400","73.9400","71.5900"
"2015/10/23","73.7400","2054980.0000","74.8700","75.2400","73.6000"
"2015/10/22","75.0600","2462991.0000","74.0200","75.2900","73.8100"
"2015/10/21","73.8600","2028222.0000","73.9600","74.3800","73.5600"
"2015/10/20","73.7000","2445225.0000","73.4900","74.0800","73.3100"
"2015/10/19","73.5800","2183431.0000","73.4900","73.7800","72.7300"
"2015/10/16","73.5900","2575199.0000","73.8300","74.1700","73.4532"
"2015/10/15","73.4800","2307929.0000","72.6900","73.5900","72.2900"
"2015/10/14","72.3400","2226469.0000","72.5600","72.9400","72.2500"
"2015/10/13","72.5300","2391084.0000","72.7500","73.1000","72.2500"
"2015/10/12","72.8200","2303775.0000","72.2600","73.4700","72.2500"
"2015/10/09","72.2600","3070586.0000","72.9300","73.2400","72.0150"
"2015/10/08","73.0000","2344276.0000","72.4000","73.2200","72.1400"
"2015/10/07","72.6700","4097533.0000","73.1500","73.4301","72.5900"
"2015/10/06","73.0900","4497605.0000","72.9900","73.4400","72.3400"
"2015/10/05","73.0800","3157200.0000","72.3300","73.3000","71.7800"
"2015/10/02","71.9600","4122593.0000","71.3200","71.9900","70.5400"
"2015/10/01","70.6700","3411017.0000","71.9900","72.1300","70.0000"
"2015/09/30","71.9400","3209697.0000","70.9500","72.0150","70.6500"
"2015/09/29","70.7300","2782513.0000","70.4400","70.9000","70.0350"
"2015/09/28","70.4500","3013882.0000","70.5900","71.2600","70.3400"
"2015/09/25","70.7100","3302502.0000","70.3100","71.4200","69.9100"
"2015/09/24","70.3200","3773839.0000","68.8700","70.4700","68.6500"
"2015/09/23","69.0900","1923828.0000","69.1800","69.3600","68.4600"
"2015/09/22","69.1500","3384943.0000","69.5800","70.0400","68.9390"
"2015/09/21","70.0500","2511201.0000","69.3000","70.1800","69.2500"
"2015/09/18","69.4500","5328184.0000","69.2500","70.0600","69.1800"
"2015/09/17","69.9100","4197913.0000","69.2300","70.9800","69.0200"
"2015/09/16","69.1800","3410560.0000","68.9200","69.4200","68.6300"
"2015/09/15","68.5900","2996294.0000","68.3600","68.9000","67.6875"
"2015/09/14","68.3100","2126247.0000","68.4000","68.8600","68.1100"
"2015/09/11","68.3400","3047237.0000","67.6400","68.3600","67.2700"
"2015/09/10","67.7400","3225614.0000","68.2000","68.5000","67.4900"
"2015/09/09","68.2100","3278569.0000","69.6300","69.7600","68.1000"
"2015/09/08","69.3600","2895171.0000","68.8000","69.3700","68.5350"
"2015/09/04","68.2600","3287749.0000","68.7000","68.9000","67.9800"
"2015/09/03","69.2800","2328970.0000","69.5400","69.7400","69.0300"
"2015/09/02","69.1600","3501799.0000","69.6800","69.7800","68.6700"
"2015/09/01","69.0500","3813606.0000","70.2600","70.2900","68.6600"
"2015/08/31","70.9100","4338403.0000","71.8400","72.3500","70.3499"
"2015/08/28","72.3900","3022354.0000","72.6000","72.6000","71.1600"
"2015/08/27","72.5200","4762511.0000","72.2300","72.8200","71.7000"
"2015/08/26","71.7400","6794233.0000","71.2200","71.9400","70.5300"
"2015/08/25","70.2100","5581469.0000","73.2700","74.1200","70.1500"
"2015/08/24","72.4400","7491835.0000","74.6600","75.1900","72.0300"
"2015/08/21","76.7100","6029363.0000","76.1500","77.5300","75.8700"
"2015/08/20","76.7700","3740868.0000","76.7800","77.4500","76.2500"
"2015/08/19","77.2100","4421299.0000","76.1000","77.3900","75.6100"
"2015/08/18","76.2400","2681064.0000","76.3900","76.4900","76.0000"
"2015/08/17","76.5200","2401610.0000","76.4500","76.9450","76.1400"
"2015/08/14","76.3700","2455817.0000","75.3700","76.4761","75.1400"
"2015/08/13","75.5800","2689338.0000","75.3800","75.8250","74.6700"
"2015/08/12","75.5600","4399846.0000","74.4000","76.0500","74.2200"
"2015/08/11","75.2900","3431627.0000","75.0400","75.8800","74.5700"
"2015/08/10","74.8100","3594530.0000","75.1500","75.4100","74.5900"
"2015/08/07","75.1500","3637494.0000","73.5900","75.3400","73.1400"
"2015/08/06","73.8400","4098964.0000","73.9800","73.9800","72.6500"
"2015/08/05","73.9800","1979342.0000","74.2000","74.4900","73.6600"
"2015/08/04","73.9200","2410527.0000","74.8800","74.8800","73.7700"
"2015/08/03","74.9600","2755238.0000","74.3000","75.0800","74.2900"
"2015/07/31","74.2200","2761204.0000","74.2000","74.9300","74.0300"
"2015/07/30","73.4500","2479203.0000","72.7500","73.6750","72.6800"
"2015/07/29","73.1100","2796248.0000","72.9300","73.2700","72.4100"
"2015/07/28","73.1300","3242774.0000","72.8000","73.3800","72.6800"
"2015/07/27","73.0000","3104004.0000","71.7600","73.3050","71.7500"
"2015/07/24","71.6900","1818371.0000","71.5700","72.0200","71.2500"
"2015/07/23","71.5600","3358740.0000","72.2600","72.3100","71.0200"
"2015/07/22","72.3700","3316620.0000","72.4600","73.0200","72.2900"
"2015/07/21","72.4200","2939834.0000","73.2000","73.2000","72.0200"
"2015/07/20","73.2700","2897107.0000","73.6000","73.7800","72.7700"
"2015/07/17","73.5700","3779631.0000","74.4900","74.7400","73.5003"
"2015/07/16","74.8100","3137778.0000","74.1100","74.9850","74.0700"
"2015/07/15","74.0200","2521563.0000","73.7000","74.1500","73.3600"
"2015/07/14","73.8000","3372504.0000","74.5600","74.8100","73.5000"
"2015/07/13","74.3500","2795826.0000","74.5700","74.9400","73.9400"
"2015/07/10","74.3700","2381604.0000","74.3800","75.1700","73.9800"
"2015/07/09","74.0700","4499867.0000","74.9500","75.2300","73.6900"
"2015/07/08","74.7900","2918580.0000","74.8300","75.5700","74.7000"
"2015/07/07","75.2700","6836493.0000","73.2200","75.7100","73.2200"
"2015/07/06","72.8500","2830213.0000","72.3700","73.0000","72.2200"
"2015/07/02","72.5300","3377313.0000","71.6800","72.6400","71.4300"
"2015/07/01","71.0800","2372589.0000","70.8000","71.1200","70.2400"
"2015/06/30","70.6200","3911287.0000","70.9900","71.0400","70.4100"
"2015/06/29","70.8500","3219162.0000","71.0800","71.7100","70.8200"
"2015/06/26","71.0000","4537080.0000","70.5900","71.3700","70.4700"
"2015/06/25","70.6800","2900319.0000","71.1900","71.3300","70.6800"
"2015/06/24","70.9300","4908082.0000","72.0100","72.2500","70.9300"
"2015/06/23","71.7800","3937718.0000","72.9200","73.1200","71.7700"
"2015/06/22","73.0700","2246155.0000","73.4600","73.5500","72.9100"
"2015/06/19","73.2000","7284192.0000","74.3500","74.5200","73.1400"
"2015/06/18","74.5400","4779861.0000","73.2100","74.5900","73.2100"
"2015/06/17","73.0800","3861483.0000","72.5200","73.2000","71.9400"
"2015/06/16","72.5700","3215236.0000","72.6200","72.7100","72.1400"
"2015/06/15","72.5000","2928214.0000","72.4000","72.9000","72.1700"
"2015/06/12","72.5300","3787937.0000","72.3800","73.0300","72.3400"
"2015/06/11","72.8600","3427299.0000","72.5800","73.1700","72.5600"
"2015/06/10","72.0500","3512361.0000","72.5800","73.0040","72.0100"
"2015/06/09","72.1300","3616951.0000","72.3700","72.9300","72.0800"
"2015/06/08","72.4500","4761717.0000","72.6800","72.8501","72.2600"
"2015/06/05","72.8500","5564663.0000","73.5000","73.8000","72.8500"
"2015/06/04","74.2100","4544724.0000","74.0000","74.6900","73.9600"
"2015/06/03","74.2000","5564951.0000","75.0000","75.3900","73.5300"
"2015/06/02","75.0500","5105515.0000","75.6300","75.6300","74.7100"
"2015/06/01","76.0000","4027039.0000","76.2600","76.3600","75.6900"
